"","yearsout","discipline","metric","result"
"1",1,"Keirin","q10",3
"2",1,"Madison","q10",1
"3",1,"Omnium","q10",2.5
"4",1,"Sprint","q10",1
"5",1,"Team Pursuit","q10",1
"6",1,"Team Sprint","q10",1
"7",2,"Keirin","q10",3
"8",2,"Madison","q10",1
"9",2,"Omnium","q10",1
"10",2,"Sprint","q10",1
"11",2,"Team Pursuit","q10",1
"12",2,"Team Sprint","q10",1
"13",3,"Keirin","q10",1
"14",3,"Madison","q10",2
"15",3,"Omnium","q10",1
"16",3,"Sprint","q10",1.7
"17",3,"Team Pursuit","q10",1
"18",3,"Team Sprint","q10",1
"19",4,"Keirin","q10",4
"20",4,"Madison","q10",1
"21",4,"Omnium","q10",5.3
"22",4,"Sprint","q10",3.6
"23",4,"Team Pursuit","q10",3
"24",4,"Team Sprint","q10",1.6
"25",5,"Keirin","q10",6.2
"26",5,"Madison","q10",1
"27",5,"Omnium","q10",7.6
"28",5,"Sprint","q10",4
"29",5,"Team Pursuit","q10",1
"30",5,"Team Sprint","q10",1
"31",6,"Keirin","q10",2.9
"32",6,"Madison","q10",3.2
"33",6,"Omnium","q10",12
"34",6,"Sprint","q10",3.2
"35",6,"Team Pursuit","q10",1.8
"36",6,"Team Sprint","q10",1
"37",7,"Keirin","q10",1
"38",7,"Madison","q10",2.2
"39",7,"Sprint","q10",13.3
"40",7,"Team Pursuit","q10",6
"41",7,"Team Sprint","q10",1
"42",8,"Keirin","q10",7.2
"43",8,"Madison","q10",2.4
"44",8,"Sprint","q10",19.9
"45",8,"Team Pursuit","q10",5
"46",8,"Team Sprint","q10",4
"47",1,"Keirin","q25",3
"48",1,"Madison","q25",4
"49",1,"Omnium","q25",3.25
"50",1,"Sprint","q25",2
"51",1,"Team Pursuit","q25",1
"52",1,"Team Sprint","q25",2
"53",2,"Keirin","q25",3.75
"54",2,"Madison","q25",1
"55",2,"Omnium","q25",1
"56",2,"Sprint","q25",1.5
"57",2,"Team Pursuit","q25",1
"58",2,"Team Sprint","q25",1
"59",3,"Keirin","q25",1.5
"60",3,"Madison","q25",3
"61",3,"Omnium","q25",1
"62",3,"Sprint","q25",2.75
"63",3,"Team Pursuit","q25",2
"64",3,"Team Sprint","q25",2
"65",4,"Keirin","q25",6.75
"66",4,"Madison","q25",1
"67",4,"Omnium","q25",5.75
"68",4,"Sprint","q25",4
"69",4,"Team Pursuit","q25",4.5
"70",4,"Team Sprint","q25",3
"71",5,"Keirin","q25",8
"72",5,"Madison","q25",1
"73",5,"Omnium","q25",8.5
"74",5,"Sprint","q25",4
"75",5,"Team Pursuit","q25",2.5
"76",5,"Team Sprint","q25",2
"77",6,"Keirin","q25",4.25
"78",6,"Madison","q25",3.5
"79",6,"Omnium","q25",12
"80",6,"Sprint","q25",3.5
"81",6,"Team Pursuit","q25",3
"82",6,"Team Sprint","q25",1.5
"83",7,"Keirin","q25",1
"84",7,"Madison","q25",2.5
"85",7,"Sprint","q25",15.25
"86",7,"Team Pursuit","q25",6
"87",7,"Team Sprint","q25",1
"88",8,"Keirin","q25",9
"89",8,"Madison","q25",3
"90",8,"Sprint","q25",22.75
"91",8,"Team Pursuit","q25",5
"92",8,"Team Sprint","q25",4
"93",1,"Keirin","median",9
"94",1,"Madison","median",5
"95",1,"Omnium","median",6
"96",1,"Sprint","median",4.5
"97",1,"Team Pursuit","median",3
"98",1,"Team Sprint","median",2
"99",2,"Keirin","median",6.5
"100",2,"Madison","median",2.5
"101",2,"Omnium","median",4
"102",2,"Sprint","median",2
"103",2,"Team Pursuit","median",2
"104",2,"Team Sprint","median",2
"105",3,"Keirin","median",3
"106",3,"Madison","median",4
"107",3,"Omnium","median",1
"108",3,"Sprint","median",3.5
"109",3,"Team Pursuit","median",3
"110",3,"Team Sprint","median",3
"111",4,"Keirin","median",10.5
"112",4,"Madison","median",3.5
"113",4,"Omnium","median",7.5
"114",4,"Sprint","median",5
"115",4,"Team Pursuit","median",7
"116",4,"Team Sprint","median",3
"117",5,"Keirin","median",11
"118",5,"Madison","median",2
"119",5,"Omnium","median",10
"120",5,"Sprint","median",10.5
"121",5,"Team Pursuit","median",6
"122",5,"Team Sprint","median",3
"123",6,"Keirin","median",6.5
"124",6,"Madison","median",4
"125",6,"Omnium","median",12
"126",6,"Sprint","median",4
"127",6,"Team Pursuit","median",4
"128",6,"Team Sprint","median",4
"129",7,"Keirin","median",6
"130",7,"Madison","median",3
"131",7,"Sprint","median",18.5
"132",7,"Team Pursuit","median",6
"133",7,"Team Sprint","median",1
"134",8,"Keirin","median",11
"135",8,"Madison","median",4
"136",8,"Sprint","median",27.5
"137",8,"Team Pursuit","median",5
"138",8,"Team Sprint","median",4
"139",1,"Keirin","q75",12.5
"140",1,"Madison","q75",6
"141",1,"Omnium","q75",10.25
"142",1,"Sprint","q75",6
"143",1,"Team Pursuit","q75",4
"144",1,"Team Sprint","q75",3
"145",2,"Keirin","q75",10
"146",2,"Madison","q75",3.75
"147",2,"Omnium","q75",5
"148",2,"Sprint","q75",2.5
"149",2,"Team Pursuit","q75",5
"150",2,"Team Sprint","q75",4
"151",3,"Keirin","q75",6.75
"152",3,"Madison","q75",9
"153",3,"Omnium","q75",1
"154",3,"Sprint","q75",5
"155",3,"Team Pursuit","q75",5
"156",3,"Team Sprint","q75",6
"157",4,"Keirin","q75",15
"158",4,"Madison","q75",9
"159",4,"Omnium","q75",13
"160",4,"Sprint","q75",9
"161",4,"Team Pursuit","q75",7
"162",4,"Team Sprint","q75",5
"163",5,"Keirin","q75",14
"164",5,"Madison","q75",3
"165",5,"Omnium","q75",11.5
"166",5,"Sprint","q75",18
"167",5,"Team Pursuit","q75",8
"168",5,"Team Sprint","q75",6
"169",6,"Keirin","q75",8.5
"170",6,"Madison","q75",4.5
"171",6,"Omnium","q75",12
"172",6,"Sprint","q75",13
"173",6,"Team Pursuit","q75",6
"174",6,"Team Sprint","q75",5
"175",7,"Keirin","q75",13
"176",7,"Madison","q75",4
"177",7,"Sprint","q75",21.75
"178",7,"Team Pursuit","q75",6
"179",7,"Team Sprint","q75",2.5
"180",8,"Keirin","q75",13
"181",8,"Madison","q75",7
"182",8,"Sprint","q75",32.25
"183",8,"Team Pursuit","q75",5
"184",8,"Team Sprint","q75",4
"185",1,"Keirin","q90",16.2
"186",1,"Madison","q90",9.2
"187",1,"Omnium","q90",11
"188",1,"Sprint","q90",8.59999999999999
"189",1,"Team Pursuit","q90",6.7
"190",1,"Team Sprint","q90",5
"191",2,"Keirin","q90",14.8
"192",2,"Madison","q90",6.6
"193",2,"Omnium","q90",6.2
"194",2,"Sprint","q90",3
"195",2,"Team Pursuit","q90",8.40000000000001
"196",2,"Team Sprint","q90",5.4
"197",3,"Keirin","q90",12.5
"198",3,"Madison","q90",13
"199",3,"Omnium","q90",1
"200",3,"Sprint","q90",8
"201",3,"Team Pursuit","q90",9
"202",3,"Team Sprint","q90",6.2
"203",4,"Keirin","q90",18.5
"204",4,"Madison","q90",9.6
"205",4,"Omnium","q90",20.2
"206",4,"Sprint","q90",15.6
"207",4,"Team Pursuit","q90",10
"208",4,"Team Sprint","q90",5.4
"209",5,"Keirin","q90",15.8
"210",5,"Madison","q90",3
"211",5,"Omnium","q90",12.4
"212",5,"Sprint","q90",19.8
"213",5,"Team Pursuit","q90",8.7
"214",5,"Team Sprint","q90",6
"215",6,"Keirin","q90",9.4
"216",6,"Madison","q90",4.8
"217",6,"Omnium","q90",12
"218",6,"Sprint","q90",18.4
"219",6,"Team Pursuit","q90",7.4
"220",6,"Team Sprint","q90",5
"221",7,"Keirin","q90",16.6
"222",7,"Madison","q90",4.6
"223",7,"Sprint","q90",23.7
"224",7,"Team Pursuit","q90",6
"225",7,"Team Sprint","q90",3.4
"226",8,"Keirin","q90",14.8
"227",8,"Madison","q90",10.6
"228",8,"Sprint","q90",35.1
"229",8,"Team Pursuit","q90",5
"230",8,"Team Sprint","q90",4
